Ticker,Sector
ATO.PA,Utilities
WLN.PA,Materials
BN.PA,Financials
AIR.PA,Industrials
AI.PA,Consumer Discretionary
DG.PA,Consumer Discretionary
VIV.PA,Telecommunications
SU.PA,Energy
AC.PA,Consumer Discretionary
ORA.PA,Utilities
ACA.PA,Financials
ML.PA,Health Care
BNP.PA,Financials
SGO.PA,Energy
ENGI.PA,Utilities
CAP.PA,Consumer Discretionary
EN.PA,Utilities
GLE.PA,Financials
VIE.PA,Consumer Staples
RI.PA,Consumer Discretionary
SAN.PA,Health Care
CA.PA,Information Technology
KER.PA,Consumer Discretionary
SW.PA,Consumer Staples
MC.PA,Luxury Goods
LR.PA,Consumer Discretionary
HO.PA,Health Care
OR.PA,Materials
